filename,experiment_id,arm,dataset,backbone,optimizer_seed,pair_seed,config_path,acc_certain,acc_hybrid,bytes,sha256,in_github_release,release_asset,role
synccaps_ucf101_clip_b32_ptfz_fc_B0_linear_seed1337.pt,ucf101_clip_b32_ptfz_fc__B0_linear,B0_linear,ucf101,clip_b32,1337,0,configs/clip/ucf101_clip_b32_ptfz_fc__B0_linear.json,76.88256977356504,72.40652975250131,4103541,d04b709641bca0a90c6dbf74e71ee927188a5ac107208ac85b1ddaec215879e5,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B0_linear_seed42.pt,ucf101_clip_b32_ptfz_fc__B0_linear,B0_linear,ucf101,clip_b32,42,0,configs/clip/ucf101_clip_b32_ptfz_fc__B0_linear.json,77.00787401574803,71.44356955380577,4103449,351e8abf6d20a0651d68538ac3168e39d9ceb7a49443d0ffabefa1c5e10980bc,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B0_linear_seed7.pt,ucf101_clip_b32_ptfz_fc__B0_linear,B0_linear,ucf101,clip_b32,7,0,configs/clip/ucf101_clip_b32_ptfz_fc__B0_linear.json,80.02092050209205,73.84937238493724,4103435,de8beb9fbe4f7d8bc29bed5ea4ebee2ae9ef19f9b09cc34b662cac21e82993d8,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B1_sync_seed1337.pt,ucf101_clip_b32_ptfz_fc__B1_sync,B1_sync,ucf101,clip_b32,1337,0,configs/clip/ucf101_clip_b32_ptfz_fc__B1_sync.json,79.19957872564508,77.72511848341233,4041996,2562f2f8df9d778fa5448a0c74a02f3680a33e1e0f497492e27c883bd3080144,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B1_sync_seed42.pt,ucf101_clip_b32_ptfz_fc__B1_sync,B1_sync,ucf101,clip_b32,42,0,configs/clip/ucf101_clip_b32_ptfz_fc__B1_sync.json,77.00787401574803,76.01049868766404,4041962,4ccb71aa05854322fd65546593b5bf7dbed1d1dfe0164344da54172579b760d4,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B1_sync_seed7.pt,ucf101_clip_b32_ptfz_fc__B1_sync,B1_sync,ucf101,clip_b32,7,0,configs/clip/ucf101_clip_b32_ptfz_fc__B1_sync.json,80.91004184100419,79.55020920502092,4041945,7be32eef63d63a8ab5369b0965ca440de3d596c6d7684a207ba06338f1fc2502,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B4_syncnorm_seed1337.pt,ucf101_clip_b32_ptfz_fc__B4_syncnorm,B4_syncnorm,ucf101,clip_b32,1337,0,configs/clip/ucf101_clip_b32_ptfz_fc__B4_syncnorm.json,80.8320168509742,79.51553449183781,4042128,e0867f053b1804a5bbd807c0a41e6ebf5c7e282b494040e6176360a933c1612a,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B4_syncnorm_seed42.pt,ucf101_clip_b32_ptfz_fc__B4_syncnorm,B4_syncnorm,ucf101,clip_b32,42,0,configs/clip/ucf101_clip_b32_ptfz_fc__B4_syncnorm.json,81.88976377952756,81.36482939632546,4042094,8b3f6964c1495086c6989e601044c5abca3a0ebfbd04ef18d7a9914c7f498aed,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_fc_B4_syncnorm_seed7.pt,ucf101_clip_b32_ptfz_fc__B4_syncnorm,B4_syncnorm,ucf101,clip_b32,7,0,configs/clip/ucf101_clip_b32_ptfz_fc__B4_syncnorm.json,82.94979079497908,82.42677824267783,4042013,d6a0f0a4c9fba2ae02af8a8d3952baecf56a6ae77704241f09e9bca0df32774c,True,synccaps-checkpoints-clip.tar,supporting
synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear_seed1337.pt,ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear,B0_linear,ucf101,clip_b32,1337,0,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear.json,78.7998942638118,73.64525508855407,4104021,15fa2af510227e0e4b1768022e4def22efdca242ab5d038599b4f3d8a225d6ed,True,synccaps-checkpoints-clip.tar,headline
synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear_seed42.pt,ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear,B0_linear,ucf101,clip_b32,42,0,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear.json,78.8263283108644,72.87866772402855,4103865,f2d90e2a545fcee4423acead2f23578e25c489109bb32c6f5d56273a47c3e0f5,True,synccaps-checkpoints-clip.tar,headline
synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear_seed7.pt,ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear,B0_linear,ucf101,clip_b32,7,0,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear.json,78.72059212265398,72.24425059476606,4103851,e18928395807bd66d00f4a25ec81ac5c1095d3698e43a236b2a5dd73d1a076d6,True,synccaps-checkpoints-clip.tar,headline
synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B1_sync_seed1337.pt,ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync,B1_sync,ucf101,clip_b32,1337,0,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync.json,78.98493259318002,76.87020882897173,4042524,0f9e2a7c5616170c7029691edbbf96213d24a7de91aeb6c1230ecd366384df86,True,synccaps-checkpoints-clip.tar,headline
