experiment_id,family,config_path,results_file,dataset,backbone,arm,n_seeds,seeds,pair_seed,n_synch,n_self
ucf101_clip_b32_ptfz_fc__B0_linear,clip,configs/clip/ucf101_clip_b32_ptfz_fc__B0_linear.json,synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,clip_b32,B0_linear,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_fc__B1_sync,clip,configs/clip/ucf101_clip_b32_ptfz_fc__B1_sync.json,synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,clip_b32,B1_sync,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_fc__B4_syncnorm,clip,configs/clip/ucf101_clip_b32_ptfz_fc__B4_syncnorm.json,synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,clip_b32,B0_linear,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,clip_b32,B1_sync,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,ucf101,clip_b32,B4_gram,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,ucf101,clip_b32,B4_gram,3,19;101;2026,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,ucf101,clip_b32,CB_tsketch,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,ucf101,clip_b32,CB_tsketch,3,19;101;2026,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__LR_bilinear.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,ucf101,clip_b32,LR_bilinear,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc__R3_route,routing,configs/routing/ucf101_clip_b32_ptfz_official1_noval_fc__R3_route.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_R3_route.json,ucf101,clip_b32,R3_route,3,7;42;1337,0,2048,64
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm,clip,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm.json,synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,ucf101,clip_b32,B4_syncnorm,3,7;42;1337,0,2048,64
