experiment_id,result_batch_id,config_path,dataset,backbone,arm,family,split,optimizer_seed,pair_seed,n_synch,n_self,exclude_self,lr,single_view_acc_certain,single_view_acc_final,single_view_acc_hybrid,mean_exit_tick,best_val,epoch_selection,checkpoint,checkpoint_present,status,exit_code,three_clip_acc_certain,three_clip_acc_final,three_clip_acc_hybrid,three_clip_mean_exit_tick,multiclip_n_views,single_view_drift
ucf101_clip_b32_ptfz_fc__B0_linear,ucf101_clip_b32_ptfz_fc__B0_linear#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B0_linear.json,ucf101,clip_b32,B0_linear,clip,seeded,42,0,2048,64,False,0.001,77.00787401574803,72.28346456692914,71.44356955380577,1.1007874015748031,80.03152916447715,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B0_linear_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B0_linear,ucf101_clip_b32_ptfz_fc__B0_linear#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B0_linear.json,ucf101,clip_b32,B0_linear,clip,seeded,1337,0,2048,64,False,0.001,76.88256977356504,72.51184834123224,72.40652975250131,1.0505529225908372,77.08880714661062,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B0_linear_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B0_linear,ucf101_clip_b32_ptfz_fc__B0_linear#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B0_linear.json,ucf101,clip_b32,B0_linear,clip,seeded,7,0,2048,64,False,0.001,80.02092050209205,75.26150627615063,73.84937238493724,1.0193514644351465,76.88679245283019,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B0_linear_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B1_sync,ucf101_clip_b32_ptfz_fc__B1_sync#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B1_sync.json,ucf101,clip_b32,B1_sync,clip,seeded,42,0,2048,64,False,0.001,77.00787401574803,76.9028871391076,76.01049868766404,6.105511811023622,78.03468208092485,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B1_sync_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B1_sync,ucf101_clip_b32_ptfz_fc__B1_sync#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B1_sync.json,ucf101,clip_b32,B1_sync,clip,seeded,1337,0,2048,64,False,0.001,79.19957872564508,79.19957872564508,77.72511848341233,6.107951553449184,78.24487651077247,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B1_sync_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B1_sync,ucf101_clip_b32_ptfz_fc__B1_sync#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B1_sync.json,ucf101,clip_b32,B1_sync,clip,seeded,7,0,2048,64,False,0.001,80.91004184100419,80.91004184100419,79.55020920502092,6.395397489539749,78.66876310272536,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B1_sync_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B4_syncnorm,ucf101_clip_b32_ptfz_fc__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,seeded,42,0,2048,64,False,0.001,81.88976377952756,81.83727034120734,81.36482939632546,6.244619422572178,82.18602207041513,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B4_syncnorm_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B4_syncnorm,ucf101_clip_b32_ptfz_fc__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,seeded,1337,0,2048,64,False,0.001,80.8320168509742,79.62085308056872,79.51553449183781,6.291205897840969,83.39464004203889,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B4_syncnorm_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_fc__B4_syncnorm,ucf101_clip_b32_ptfz_fc__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_fc__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,seeded,7,0,2048,64,False,0.001,82.94979079497908,82.00836820083683,82.42677824267783,6.061192468619247,81.28930817610063,best validation accuracy,synccaps_ucf101_clip_b32_ptfz_fc_B4_syncnorm_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear,ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear.json,ucf101,clip_b32,B0_linear,clip,_official1_noval,42,0,2048,64,False,0.001,78.8263283108644,73.77742532381708,72.87866772402855,1.0359503039915412,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear_seed42.pt,True,completed,0,80.253766851705,76.50013217023526,77.31958762886599,1.0800951625693893,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear,ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear.json,ucf101,clip_b32,B0_linear,clip,_official1_noval,1337,0,2048,64,False,0.001,78.7998942638118,74.33254031192176,73.64525508855407,1.0592122653978324,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear_seed1337.pt,True,completed,0,80.06872852233677,76.52656621728786,78.29764736981232,1.0898757599788527,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear,ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B0_linear.json,ucf101,clip_b32,B0_linear,clip,_official1_noval,7,0,2048,64,False,0.001,78.72059212265398,73.3016124768702,72.24425059476606,1.049431667988369,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear_seed7.pt,True,completed,0,79.98942638117896,76.1036214644462,77.31958762886599,1.0748083531588686,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync,ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync.json,ucf101,clip_b32,B1_sync,clip,_official1_noval,42,0,2048,64,False,0.001,79.64578376949511,79.69865186360032,78.48268569918055,6.030927835051546,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B1_sync_seed42.pt,True,completed,0,80.43880518107322,80.3066349458102,80.38593708696801,6.087496695744118,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync,ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync.json,ucf101,clip_b32,B1_sync,clip,_official1_noval,1337,0,2048,64,False,0.001,78.98493259318002,79.32857520486387,76.87020882897173,5.937615648955855,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B1_sync_seed1337.pt,True,completed,0,79.38144329896907,79.51361353423209,79.03780068728523,5.993655828707375,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync,ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B1_sync.json,ucf101,clip_b32,B1_sync,clip,_official1_noval,7,0,2048,64,False,0.001,79.38144329896907,79.5929156753899,77.79540047581285,6.154374834787206,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B1_sync_seed7.pt,True,completed,0,79.91012424002115,79.93655828707375,79.48717948717949,6.180015860428232,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm,ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,_official1_noval,42,0,2048,64,False,0.001,82.79143536875495,81.62833729844039,81.89267776896642,6.449114459423738,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_syncnorm_seed42.pt,True,completed,0,83.87523129791171,82.13058419243985,83.66375892149088,6.650277557494053,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm,ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,_official1_noval,1337,0,2048,64,False,0.001,82.71213322759714,81.78694158075601,81.86624372191382,6.429288924134285,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_syncnorm_seed1337.pt,True,completed,0,83.7694951097013,82.60639703938672,83.61089082738567,6.665873645255089,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm,ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B0_linear-B1_sync-B4_syncnorm.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,_official1_noval,7,0,2048,64,False,0.001,82.4477927570711,81.20539254559873,81.7076394395982,6.35553793285752,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_syncnorm_seed7.pt,True,completed,0,83.37298440391224,81.89267776896642,83.26724821570183,6.540311921755221,3,0.0
ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram,ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch-LR_bilinear.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__B4_gram.json,ucf101,clip_b32,B4_gram,clip,_official1_noval,42,0,2048,64,False,0.001,82.39492466296589,83.18794607454402,81.99841395717684,6.346814697330161,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram_seed42.pt,True,completed,0,,,,,,
